epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.06322,2.55144,5.11781,1.7915,0.00103,0.59016,0.09081,0.01573,1.91244,34.5378,1.3059,0.00054,0.00054,0.00054
2,10.5966,2.27522,3.76879,1.72624,0.00085,0.4918,0.00146,0.00041,1.9564,35.2606,1.52528,0.0010637,0.0010637,0.0010637
3,15.0091,2.25892,3.48536,1.84321,0.24578,0.06557,0.10424,0.03035,1.74687,31.4432,1.53365,0.00155044,0.00155044,0.00155044
4,19.3353,2.18685,2.94865,1.74776,0.18472,0.35661,0.10985,0.03317,1.96934,35.7211,1.77372,0.001802,0.001802,0.001802
5,23.6443,2.21086,2.74965,1.74959,0.36415,0.31148,0.23028,0.07446,2.06849,16.6809,1.60983,0.001736,0.001736,0.001736
6,27.9089,2.22327,2.53203,1.75747,0.36421,0.13149,0.14581,0.04617,1.92953,7.70809,1.51153,0.00167,0.00167,0.00167
7,32.1379,2.24024,2.30034,1.76731,0.35439,0.47541,0.2997,0.08945,1.87578,5.11998,1.43982,0.001604,0.001604,0.001604
8,36.3876,2.20314,2.24438,1.72588,0.46926,0.54098,0.48721,0.1427,1.80146,14.8275,1.43532,0.001538,0.001538,0.001538
9,40.665,2.06648,1.98565,1.64647,0.70831,0.44262,0.52885,0.17584,1.82488,12.0697,1.46005,0.001472,0.001472,0.001472
10,44.9289,2.05444,1.87279,1.6019,0.50617,0.60493,0.55067,0.18157,1.70475,8.68816,1.36198,0.001406,0.001406,0.001406
11,49.2129,2.02823,1.7584,1.57784,0.50976,0.54098,0.52257,0.18791,1.7405,6.08371,1.40633,0.00134,0.00134,0.00134
12,53.4349,1.99001,1.65352,1.5845,0.51327,0.44262,0.41403,0.12336,1.89548,8.83874,1.51784,0.001274,0.001274,0.001274
13,57.6777,1.93993,1.61241,1.61132,0.66026,0.59016,0.65465,0.24011,1.64432,2.91109,1.30171,0.001208,0.001208,0.001208
14,61.9205,1.9858,1.56598,1.62289,0.70819,0.47541,0.58688,0.18492,1.72666,2.28602,1.32607,0.001142,0.001142,0.001142
15,66.2288,2.05662,1.53277,1.62263,0.58385,0.62101,0.61371,0.23043,1.60377,1.5692,1.2764,0.001076,0.001076,0.001076
16,70.4242,1.92473,1.37581,1.55816,0.77159,0.62295,0.6952,0.24938,1.6554,2.65506,1.28676,0.00101,0.00101,0.00101
17,74.6281,1.89125,1.4111,1.53217,0.6796,0.62593,0.69378,0.24534,1.64848,5.23928,1.25198,0.000944,0.000944,0.000944
18,78.8988,1.88406,1.35181,1.52317,0.78897,0.55168,0.66947,0.23564,1.67664,3.37391,1.29457,0.000878,0.000878,0.000878
19,83.1324,1.8254,1.30912,1.48416,0.61827,0.71695,0.6896,0.26107,1.6687,1.26647,1.25067,0.000812,0.000812,0.000812
20,87.3109,1.84943,1.2885,1.51513,0.76225,0.6308,0.746,0.24982,1.68463,1.00499,1.28816,0.000746,0.000746,0.000746
21,107.499,1.90965,1.47115,1.6195,0.64953,0.63805,0.67946,0.2312,1.63465,2.40172,1.27268,0.00068,0.00068,0.00068
22,111.667,1.78371,1.33245,1.51741,0.79259,0.68852,0.7615,0.25864,1.61751,1.1938,1.24248,0.000614,0.000614,0.000614
23,115.856,1.7137,1.27587,1.50483,0.73376,0.72292,0.78277,0.27415,1.61038,1.17022,1.25163,0.000548,0.000548,0.000548
24,120.024,1.76781,1.20746,1.53008,0.71832,0.68852,0.73204,0.27578,1.64091,1.26897,1.26659,0.000482,0.000482,0.000482
25,124.209,1.68662,1.16877,1.491,0.74311,0.68852,0.74973,0.2816,1.57394,1.41775,1.26474,0.000416,0.000416,0.000416
26,128.358,1.63958,1.12084,1.46555,0.73536,0.7289,0.77056,0.29333,1.58514,1.34525,1.27378,0.00035,0.00035,0.00035
27,132.519,1.66499,1.11037,1.46858,0.78081,0.68852,0.76135,0.29819,1.61178,1.23348,1.28349,0.000284,0.000284,0.000284
28,136.626,1.66041,1.09618,1.45375,0.79374,0.78689,0.79456,0.31047,1.604,1.1945,1.26964,0.000218,0.000218,0.000218
29,140.799,1.60413,1.07288,1.43937,0.84967,0.7377,0.79587,0.30434,1.57996,1.09929,1.26759,0.000152,0.000152,0.000152
30,144.966,1.61405,1.07884,1.43814,0.81768,0.73527,0.78301,0.29719,1.57325,1.04912,1.27115,8.6e-05,8.6e-05,8.6e-05
